"site","radius","humanfeature","metric","value"
"2-0-CA22B",250,"seismic","ai",73.6421725239617
"2-0-CA22B",250,"roads","ai",87.9411764705882
"2-0-CA22B",250,"abandonedwellsites","ai",94.8979591836735
"2-0-CA22B",250,"harvestareas","ai",93.3495539334955
"2-0-CA22B",250,"seismic","cohesion",94.5713663461897
"2-0-CA22B",250,"roads","cohesion",93.6852956112426
"2-0-CA22B",250,"abandonedwellsites","cohesion",87.7450240649074
"2-0-CA22B",250,"harvestareas","cohesion",93.3265446233684
"2-0-CA22B",250,"seismic","iji",58.1837434113664
"2-0-CA22B",250,"roads","iji",46.178175229188
"2-0-CA22B",250,"abandonedwellsites","iji",43.6432222745668
"2-0-CA22B",250,"harvestareas","iji",61.3259564880689
"2-0-CA22B",250,"seismic","te",3610
"2-0-CA22B",250,"roads","te",560
"2-0-CA22B",250,"abandonedwellsites","te",110
"2-0-CA22B",250,"harvestareas","te",980
"2-0-CA48B",250,"seismic","ai",78.4615384615385
"2-0-CA48B",250,"roads","ai",94.3109987357775
"2-0-CA48B",250,"harvestareas","ai",97.7145566619251
"2-0-CA48B",250,"pipeline","ai",89.5096921322691
"2-0-CA48B",250,"seismic","cohesion",93.0152425775143
"2-0-CA48B",250,"roads","cohesion",96.182467375745
"2-0-CA48B",250,"harvestareas","cohesion",98.6166528477846
"2-0-CA48B",250,"pipeline","cohesion",96.4255902321152
"2-0-CA48B",250,"seismic","iji",7.44686053145349
"2-0-CA48B",250,"roads","iji",27.5095961231231
"2-0-CA48B",250,"harvestareas","iji",82.1197305596118
"2-0-CA48B",250,"pipeline","iji",58.9566151400586
"2-0-CA48B",250,"seismic","te",910
"2-0-CA48B",250,"roads","te",665
"2-0-CA48B",250,"harvestareas","te",2645
"2-0-CA48B",250,"pipeline","te",1315
"2-0-CA49B",250,"seismic","ai",78.7234042553192
"2-0-CA49B",250,"harvestareas","ai",97.7535482658145
"2-0-CA49B",250,"pipeline","ai",89.2857142857143
"2-0-CA49B",250,"seismic","cohesion",82.360754759299
"2-0-CA49B",250,"harvestareas","cohesion",99.1256827503011
"2-0-CA49B",250,"pipeline","cohesion",96.4770805245213
"2-0-CA49B",250,"seismic","iji",15.988106068327
"2-0-CA49B",250,"harvestareas","iji",61.4188700586598
"2-0-CA49B",250,"pipeline","iji",63.7893943952593
"2-0-CA49B",250,"seismic","te",210
"2-0-CA49B",250,"harvestareas","te",2485
"2-0-CA49B",250,"pipeline","te",1330
"2-1B1-CA21B",250,"pipeline","ai",81.6326530612245
"2-1B1-CA21B",250,"pipeline","cohesion",87.744960271498
"2-1B1-CA21B",250,"pipeline","iji",7.42747452151741
"2-1B1-CA21B",250,"pipeline","te",235
"LU2-03",250,"seismic","ai",75.0738916256158
"LU2-03",250,"abandonedwellsites","ai",99.3808049535604
"LU2-03",250,"seismic","cohesion",96.7523098299528
"LU2-03",250,"abandonedwellsites","cohesion",93.4958990987728
"LU2-03",250,"seismic","iji",61.8113614013944
