"site","radius","holes","activewellsites","roads","verges","railways","mines","industrialsites","otherveg","transmissionlines","abandonedwellsites","pipeline","harvestareas","urbanruralres","cultivation","seismic"
"LU2_03",250,0,0,0.08397219,0.098297427,0,0,0,0,0,2.054577681,0,0,0,0,4.083330359
"LU2_03",500,0,0,0.228267299,0.250652538,0,0,0,0,0,0.918297149,0,1.086442574,0,0,2.360357057
"LU2_03",750,0,0,0.897210745,1.560676542,0,0,0,0,0,0.408096587,0,5.628600446,0,0,1.726411725
"LU2_03",1000,0,0,0.764704317,1.368869523,0,0,0,0,0,0.229544154,0,10.1204998,0,0,1.446358246
"LU2_03",1250,0,0,0.644906693,1.164869418,0,0,0,0,0,0.146904411,0,15.75067878,0,0,1.195730101
"LU2_03",1500,0,0,0.560291164,1.020927266,0,0,0,0,0,0.102015132,0,19.25595071,0,0,1.169053661
"LU2_03",1750,0,0,0.493690804,0.902438871,0,0,0,0,0,0.074948981,0,21.1627626,0,0,1.159996289
"LU2_03",2000,0,0,0.440267777,0.806491064,0,0,0,0,0,0.057382251,0,22.14933039,0,0,1.219472494
"LU2_03",2250,0,0,0.392573274,0.720091524,0,0,0,0,0,0.04533873,0,24.29162632,0,0,1.163047329
"LU2_03",2500,0,0,0.354225771,0.651701466,0,0,0,0,0,0.036724155,0,26.41749124,0,0,1.084213074
"LU2_05",250,0,0,2.267556904,2.280120943,0,0,0,0,0,0,0,0,0,0,2.119647971
"LU2_05",500,0,0,1.22202338,1.224275441,0,0,0,0,0,0,0,0,0,0,1.256604245
"LU2_05",750,0,0,0.830728326,0.846996184,0,0,0,0,0,0,0,0.030032852,0,0,1.017054699
"LU2_05",1000,0,0,0.627428812,0.636710034,0,0,0,0,0,0,0,3.601654784,0,0,0.891565478
"LU2_05",1250,0,0,0.506684923,0.513142667,0,0,0,0,0,0,0,7.072667672,0,0,0.789868177
"LU2_05",1500,0,0,0.439111368,0.448499385,0,0,0,0,0,0,0,10.13498643,0,0,0.640538738
"LU2_05",1750,0,0,0.383895596,0.388324009,0,0,0,0.013560409,0,0,0,11.62823215,0,0,0.558614507
"LU2_05",2000,0,0,0.376260169,0.395072965,0,0,0,0.247108214,0,0,0,12.74134736,0,0,0.522231771
"LU2_05",2250,0,0,0.396675724,0.455676661,0,0,0,0.475931592,0,0,0,12.52086301,0,0,0.485262542
"LU2_05",2500,0,0,0.441165222,0.522523515,0,0,0,0.711020274,0,0,0,12.62656775,0,0,0.461189656
