"array","gridcell","site","black.bear","fisher","lynx","white.tailed.deer","grey.wolf","moose","red.fox","caribou","coyote","cougar","absent_fisher","absent_lynx","absent_white.tailed.deer","absent_grey.wolf","absent_moose","absent_red.fox","absent_caribou","absent_coyote","absent_cougar","absent_black.bear"
"LU2","LU2-16","2-0-CA16B",1,1,2,6,0,0,0,0,0,0,7,6,2,8,8,8,8,8,8,6
"LU2","LU2-22","2-0-CA22B",4,0,0,9,1,1,0,0,0,0,9,9,0,8,8,9,9,9,9,3
"LU2","LU2-48","2-0-CA48B",1,0,0,2,0,0,0,0,0,0,2,2,0,2,2,2,2,2,2,1
"LU2","LU2-49","2-0-CA49B",4,1,0,7,2,0,4,0,0,0,6,7,0,5,7,3,7,7,7,2
"LU2","LU2-21","2-1B1-CA21B",3,0,0,5,0,0,0,0,0,0,8,8,3,8,8,8,8,8,8,4
"LU3","LU3-16","3-0-CA16B",0,0,0,0,0,1,0,4,0,0,9,9,9,9,8,9,5,9,9,6
"LU3","LU3-22","3-0-CA22B",6,0,0,6,0,0,0,0,1,0,10,10,4,10,10,10,10,9,10,1
"LU3","LU3-33","3-0-CA33B",0,1,3,4,0,1,0,0,1,0,7,5,4,8,7,8,8,7,8,6
"LU3","LU3-34","3-0-CA34B",2,0,3,6,0,1,0,0,4,0,8,5,2,8,7,8,8,4,8,4
"LU3","LU3-35","3-0-CA35B",2,0,0,6,0,1,0,0,0,0,8,8,2,8,7,8,8,8,8,4
"LU3","LU3-4","3-0-CA4B",4,0,4,6,0,2,0,1,1,0,8,4,2,8,6,8,7,7,8,2
"LU3","LU3-8","3-0-CA8B",2,0,1,5,0,0,0,3,0,0,8,7,3,8,8,8,5,8,8,4
"LU3","LU3-38","3-2B1-CA38B",2,0,0,7,0,3,0,0,1,0,8,8,1,8,5,8,8,7,8,4
"LU3","LU3-43","3-2C1-CA43B",4,0,0,8,0,1,0,0,1,0,8,8,0,8,7,8,8,7,8,2
"LU3","LU3-52","3-2F2-CA4B",2,0,0,9,0,1,0,0,0,0,9,9,0,9,8,9,9,9,9,4
"LU2","LU2-03","LU2-03",2,2,0,7,0,0,0,0,1,0,5,7,0,7,7,7,7,6,7,3
"LU2","LU2-05","LU2-05",2,0,0,3,0,0,0,0,0,1,7,7,4,7,7,7,7,7,6,3
"LU2","LU2-100","LU2-100",1,3,3,6,0,0,3,0,3,0,4,4,1,7,7,4,7,4,7,4
"LU2","LU2-101","LU2-101",3,1,2,7,0,0,0,0,5,0,6,5,0,7,7,7,7,2,7,2
"LU2","LU2-106","LU2-106",2,0,0,6,0,1,0,0,6,0,7,7,1,7,6,7,7,1,7,3
"LU2","LU2-110","LU2-110",3,2,4,7,0,0,0,0,3,0,12,10,7,14,14,14,14,11,14,7
"LU2","LU2-119","LU2-119",4,1,6,9,0,3,0,0,8,1,13,8,5,14,11,14,14,6,13,6
"LU2","LU2-123","LU2-123",3,1,0,6,0,3,1,0,0,0,6,7,1,7,4,6,7,7,7,2
"LU2","LU2-13","LU2-13",1,1,1,5,1,0,0,0,3,0,6,6,2,6,7,7,7,4,7,4
"LU2","LU2-137","LU2-137",2,0,0,13,0,1,0,0,4,1,14,14,1,14,13,14,14,10,13,8
"LU2","LU2-143","LU2-143",6,1,3,12,2,5,0,0,4,0,13,11,2,12,9,14,14,10,14,4
"LU2","LU2-15","LU2-15",1,0,0,1,0,0,0,0,0,0,7,7,6,7,7,7,7,7,7,4
"LU2","LU2-153","LU2-153",6,0,0,13,1,1,0,0,5,0,14,14,1,13,13,14,14,9,14,4
"LU2","LU2-155","LU2-155",3,0,0,11,2,2,0,0,1,1,14,14,3,12,12,14,14,13,13,7
"LU2","LU2-17","LU2-17",6,0,0,12,2,4,0,0,4,1,14,14,2,12,10,14,14,10,13,4
"LU2","LU2-18","LU2-18",4,2,6,8,3,2,0,0,1,0,12,8,6,11,12,14,14,13,14,6
"LU2","LU2-20","LU2-20",6,0,0,12,0,3,0,0,2,1,14,14,2,14,11,14,14,12,13,4
"LU2","LU2-21","LU2-21",7,5,1,11,0,2,0,0,1,0,9,13,3,14,12,14,14,13,14,3
"LU2","LU2-24","LU2-24",7,0,1,10,1,0,0,0,4,0,14,13,4,13,14,14,14,10,14,3
"LU2","LU2-25","LU2-25",5,4,1,7,0,1,0,0,5,2,10,13,7,14,13,14,14,9,12,5
"LU2","LU2-26","LU2-26",6,0,0,13,1,1,0,0,0,2,14,14,1,13,13,14,14,14,12,4
"LU2","LU2-27","LU2-27",2,2,1,5,1,0,1,0,0,0,5,6,2,6,7,6,7,7,7,3
"LU2","LU2-29","LU2-29",2,1,1,7,0,2,0,0,1,0,6,6,0,7,5,7,7,6,7,3
"LU2","LU2-30","LU2-30",2,0,0,7,0,2,0,0,3,0,7,7,0,7,5,7,7,4,7,3
"LU2","LU2-31","LU2-31",4,0,0,6,0,0,0,0,1,0,7,7,1,7,7,7,7,6,7,1
"LU2","LU2-32","LU2-32",2,3,0,7,0,1,0,0,2,0,4,7,0,7,6,7,7,5,7,3
"LU2","LU2-33","LU2-33",3,0,2,6,0,0,0,0,2,1,7,5,1,7,7,7,7,5,6,2
"LU2","LU2-34","LU2-34",3,5,1,6,1,2,0,0,5,0,2,6,1,6,5,7,7,2,7,2
"LU2","LU2-36","LU2-36",2,2,0,5,0,5,0,0,0,0,5,7,2,7,2,7,7,7,7,3
"LU2","LU2-38","LU2-38",3,0,1,3,0,1,0,0,1,0,14,13,11,14,13,14,14,13,14,7
"LU2","LU2-39","LU2-39",6,0,2,12,0,1,0,0,5,6,14,12,2,14,13,14,14,9,8,4
"LU2","LU2-40","LU2-40",4,0,1,13,1,1,0,0,1,0,14,13,1,13,13,14,14,13,14,6
"LU2","LU2-42","LU2-42",7,4,2,10,2,1,0,0,1,0,10,12,4,12,13,14,14,13,14,3
"LU2","LU2-44","LU2-44",2,0,0,3,0,0,0,0,0,0,14,14,11,14,14,14,14,14,14,8
"LU2","LU2-46","LU2-46",6,0,0,14,2,0,0,0,2,1,14,14,0,12,14,14,14,12,13,4
"LU2","LU2-47","LU2-47",2,1,0,11,0,0,0,0,2,0,13,14,3,14,14,14,14,12,14,8
"LU2","LU2-50","LU2-50",3,0,0,10,0,0,1,0,5,1,14,14,4,14,14,13,14,9,13,7
"LU2","LU2-51","LU2-51",3,0,0,13,0,2,1,0,2,1,14,14,1,14,12,13,14,12,13,7
"LU2","LU2-52","LU2-52",6,0,2,13,1,0,0,0,0,1,14,12,1,13,14,14,14,14,13,4
"LU2","LU2-54","LU2-54",3,0,2,14,2,0,0,0,2,0,14,12,0,12,14,14,14,12,14,7
"LU2","LU2-56","LU2-56",4,0,0,12,1,0,1,0,0,0,14,14,2,13,14,13,14,14,14,6
"LU2 ","LU2-57","LU2-57",7,0,0,13,0,0,3,0,0,0,14,14,1,14,14,11,14,14,14,3
"LU3","LU3-05","LU3-05",2,0,3,2,0,0,1,1,0,0,11,8,9,11,11,10,10,11,11,5
"LU3","LU3-07","LU3-07",3,0,3,4,1,0,0,0,4,0,11,8,7,10,11,11,11,7,11,4
"LU3","LU3-10","LU3-10",2,2,2,4,0,1,0,0,4,0,5,5,3,7,6,7,7,3,7,3
"LU3","LU3-102","LU3-102",3,0,4,4,0,0,0,1,1,0,11,7,7,11,11,11,10,10,11,4
"LU3","LU3-103","LU3-103",1,0,3,1,0,2,0,1,1,0,11,8,10,11,9,11,10,10,11,6
"LU3","LU3-111","LU3-111",2,1,1,4,1,0,0,0,0,0,6,6,3,6,7,7,7,7,7,3
"LU3","LU3-126","LU3-126",2,0,1,1,0,0,0,0,1,0,11,10,10,11,11,11,11,10,11,5
