site,black_bear,coyote,fisher,moose,snowshoe_hare,white-tailed_deer,cougar,grey_wolf,lynx,red_fox,wolverine,caribou,absent_black_bear,absent_coyote,absent_fisher,absent_moose,absent_snowshoe_hare,absent_white-tailed_deer,absent_cougar,absent_grey_wolf,absent_lynx,absent_red_fox,absent_wolverine
LU01_06,7,4,5,3,4,12,0,0,0,0,0,0,5,-4,-5,-3,-4,-12,0,0,0,0,0
LU01_10,3,4,3,2,1,5,0,0,0,0,0,0,3,-4,-3,-2,-1,-5,0,0,0,0,0
LU01_11,4,8,3,5,3,12,1,2,1,2,0,0,8,-8,-3,-5,-3,-12,-1,-2,-1,-2,0
LU01_13,7,10,3,9,0,12,0,0,0,0,0,0,5,-10,-3,-9,0,-12,0,0,0,0,0
LU01_22,8,11,2,1,8,13,1,0,1,0,0,0,4,-11,-2,-1,-8,-13,-1,0,-1,0,0
LU01_25,9,9,1,0,2,14,0,0,1,0,0,0,3,-9,-1,0,-2,-14,0,0,-1,0,0
LU01_27,4,11,1,2,2,15,0,1,0,0,0,0,8,-11,-1,-2,-2,-15,0,-1,0,0,0
LU01_30,5,0,1,4,0,9,0,0,0,0,0,0,7,0,-1,-4,0,-9,0,0,0,0,0
LU01_32,7,9,0,1,12,12,0,0,0,4,0,0,5,-9,0,-1,-12,-12,0,0,0,-4,0
LU01_36,7,4,3,0,4,10,0,0,2,0,0,0,5,-4,-3,0,-4,-10,0,0,-2,0,0
LU01_40,8,7,3,3,7,10,0,0,1,0,0,0,3,-7,-3,-3,-7,-10,0,0,-1,0,0
LU01_41,4,6,0,2,8,11,0,1,0,2,0,0,8,-6,0,-2,-8,-11,0,-1,0,-2,0
LU01_43,1,10,2,1,13,10,0,0,1,0,0,0,11,-10,-2,-1,-13,-10,0,0,-1,0,0
LU01_44,2,7,6,0,7,11,0,0,0,7,0,0,10,-7,-6,0,-7,-11,0,0,0,-7,0
LU01_45,3,4,2,1,6,13,1,0,2,0,0,0,9,-4,-2,-1,-6,-13,-1,0,-2,0,0
LU01_46,3,11,3,0,11,14,1,0,2,0,0,0,9,-11,-3,0,-11,-14,-1,0,-2,0,0
LU01_47,6,14,2,3,15,15,1,0,2,9,0,0,6,-14,-2,-3,-15,-15,-1,0,-2,-9,0
LU01_48,6,5,6,0,3,14,2,0,1,0,0,0,6,-5,-6,0,-3,-14,-2,0,-1,0,0
LU01_60,4,2,0,2,6,11,0,0,1,0,0,0,8,-2,0,-2,-6,-11,0,0,-1,0,0
LU01_63,2,5,0,2,0,5,0,1,4,0,0,0,4,-5,0,-2,0,-5,0,-1,-4,0,0
LU01_64,4,3,0,1,0,15,0,0,0,0,0,0,8,-3,0,-1,0,-15,0,0,0,0,0
LU01_66,3,7,0,7,7,13,0,0,5,0,0,0,9,-7,0,-7,-7,-13,0,0,-5,0,0
LU01_67,7,7,6,2,15,13,0,0,1,5,0,0,5,-7,-6,-2,-15,-13,0,0,-1,-5,0
LU01_70,1,2,1,2,3,9,0,1,1,1,0,0,6,-2,-1,-2,-3,-9,0,-1,-1,-1,0
LU01_71,4,11,4,0,4,10,0,0,1,0,0,0,8,-11,-4,0,-4,-10,0,0,-1,0,0
LU01_72,4,3,0,0,1,4,0,0,0,0,0,0,0,-3,0,0,-1,-4,0,0,0,0,0
LU01_73,2,11,0,7,15,9,0,0,3,0,0,0,10,-11,0,-7,-15,-9,0,0,-3,0,0
LU01_74,4,6,3,0,13,14,0,2,5,1,0,0,8,-6,-3,0,-13,-14,0,-2,-5,-1,0
LU01_75,4,9,1,0,7,10,0,1,0,0,0,0,8,-9,-1,0,-7,-10,0,-1,0,0,0
LU01_76,2,7,0,1,5,7,0,1,1,2,0,0,4,-7,0,-1,-5,-7,0,-1,-1,-2,0
LU01_77,2,1,0,0,0,3,0,0,0,0,0,0,2,-1,0,0,0,-3,0,0,0,0,0
LU01_78,1,3,0,0,4,7,0,0,3,0,0,0,11,-3,0,0,-4,-7,0,0,-3,0,0
LU01_79,3,9,1,0,14,6,0,0,1,0,0,0,9,-9,-1,0,-14,-6,0,0,-1,0,0
LU01_80,3,6,1,0,1,12,0,2,0,1,0,0,9,-6,-1,0,-1,-12,0,-2,0,-1,0
LU01_82,6,6,6,0,12,6,0,0,3,0,0,0,6,-6,-6,0,-12,-6,0,0,-3,0,0
LU01_83,5,5,0,0,3,5,0,0,1,0,0,0,7,-5,0,0,-3,-5,0,0,-1,0,0
LU01_84,6,6,1,1,13,9,0,1,2,1,0,0,6,-6,-1,-1,-13,-9,0,-1,-2,-1,0
LU01_85,5,6,3,1,9,10,0,2,1,0,0,0,3,-6,-3,-1,-9,-10,0,-2,-1,0,0
LU01_86,2,8,2,0,1,13,0,0,0,0,0,0,8,-8,-2,0,-1,-13,0,0,0,0,0
