array,site,buff_dist,airp_runway,borrowpit_dry,borrowpit_wet,borrowpits,camp_industrial,campground,canal,cfo,clearing_unknown,clearing_wellpad_unconfirmed,conventional_seismic,country_residence,crop,cultivation_abandoned,dugout,facility_other,facility_unknown,fruit_vegetables,golfcourse,greenspace,grvl_sand_pit,harvest_area,harvest_area_white_zone,interchange_ramp,lagoon,landfill,lc_class110,lc_class120,lc_class20,lc_class210,lc_class220,lc_class230,lc_class32,lc_class33,lc_class34,lc_class50,low_impact_seismic,mill,mines_oilsands,mines_pitlake,misc_oil_gas_facility,oil_gas_plant,open_pit_mine,peat,pipeline,recreation,reservoir,residence_clearing,ris_airp_runway,ris_borrowpits,ris_camp_industrial,ris_clearing_unknown,ris_drainage,ris_facility_operations,ris_facility_unknown,ris_mines_oilsands,ris_oilsands_rms,ris_overburden_dump,ris_plant,ris_reclaim_ready,ris_reclaimed_certified,ris_reclaimed_permanent,ris_reclaimed_temp,ris_road,ris_soil_replaced,ris_soil_salvaged,ris_tailing_pond,ris_tank_farm,ris_transmission_line,ris_utilities,ris_waste,ris_windrow,rlwy_dbl_track,rlwy_mlt_track,rlwy_sgl_track,rlwy_spur,road_gravel_1l,road_gravel_2l,road_paved_1l,road_paved_2l,road_paved_3l,road_paved_4l,road_paved_5l,road_paved_div,road_paved_undiv_1l,road_paved_undiv_2l,road_unclassified,road_unimproved,road_unpaved_1l,road_unpaved_2l,road_winter,rough_pasture,runway,rural_residence,sump,surrounding_veg,tailing_pond,tame_pasture,trail,transfer_station,transmission_line,truck_trail,urban_industrial,urban_residence,vegetated_edge_railways,vegetated_edge_roads,well_aband,well_bitumen,well_cased,well_cleared_not_confirmed,well_cleared_not_drilled,well_gas,well_oil,well_other,well_unknown
LU13,LU13_18,250,0,0,0,0,0,0,0,0,0.09232716699999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1928166,0,0.03607209700000001,0.4555943770000001,0,0,0,0,0,0.3155169260000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005879016000000002,0,0.06421027200000003,0,0.2905449120000001,0,0,0,0,0,0,0,0,0,0,0,0
LU13,LU13_15,250,0,0,0,0,0,0,0,0,0.069674529,0,0.032770789,0,0,0,0,0,0,0,0,0,0.087308779,0,0,0,0,0,0.34823323999999983,0,0,0.3583255190000001,0,0.100603367,0,0.10123854300000003,0.091599197,0,0,0,0,0,0,0,0,0,0.067955759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.047695303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017425857000000006,0,0,0,0,0,0,0,0,0,0,0,0,0.002800676,0,0,0,0,0,0,0.08579617700000006,0,0,0,0,0,0,0,0,0
LU13,LU13_03,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.687019855,0,0,0,0,0,0,0,0.185976544,0,0.255262006,0,0,0,0.5587614500000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU13,LU13_34,250,0,0,0,0,0,0,0,0,0,0,0.008885480999999999,0,0,0,0,0,0,0,0,0,0,0.336894195,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001964007,0,0,0.01394792,0,0,0,0,0,0,0,0,0,0,0,0,0
LU13,LU13_57,250,0,0,0,0,0,0,0,0,0,0,0.011444236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17842140300000006,0,0,0.821578597,0,0,0,0,0,0,0.052342435,0,0,0,0,0,0,0,0.030100086999999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09101129799999998,0,0,0,0,0,0.032230409,0,0,0,0,0,0,0,0
LU13,LU13_16,250,0,0,0,0,0,0,0,0,0.19376149900000006,0,0.007469759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18081067299999995,0.688877393,0.13031193400000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247622969,0,0,0,0,0,0,0,0,0,0,0,0
LU13,LU13_21,250,0,0,0,0,0,0,0,0,0.181329831,0,0,0,0,0,0,0.20099200500000006,0,0,0,0,0,0,0,0,0,0,0.10601473900000002,0,0.07103516500000003,0.2827818,0,0,0,0.02304566,0.19504073800000005,0.3220819010000001,0,0,0,0,0,0,0,0,0.045671191000000014,0,0,0,0,0,0,0,0,0.122886326,0,0,0,0,0,0,0,0,0,0.021805549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05277612900000002,0,0,0,0.012262139,0,0.041562149000000013,0,0,0,0,6.13147e-4,0,0,0,0,0,0,0,0,0
LU13,LU13_37,250,0,0,0,0,0,0,0,0,0,0,0.015649638999999993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03127947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102167639,0.012157340999999999,0,0,0,0,0,0,0,0
LU13,LU13_55,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39174325399999993,0,0,0,0,0,0.6082567459999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028592165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094011602,0,0,0,0,0,0,0,0,0
LU13,LU13_47,250,0,0,0,0,0,0,0,0,0,0,0.009766400999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.059993998000000014,0,0,0,0,0,0,0,0.038335251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053289755,0,0,0,0,0,0,0.109628611,0,0,0,0,0,0,0,0,0,0,0.008142382,0.0022983780000000002,0,0,0,0,0,0,0,0
