Model,cond((Int)),disp((Int)),cond(scale(harvest)),cond(scale(osm_industrial)),cond(scale(pipeline_transmission_lines)),cond(scale(seismic_lines_3D)),cond(scale(seismic_lines)),cond(scale(trails)),cond(scale(wells)),df,logLik,AICc,delta,weight,Dataset,species
4000 meter buffer,-0.6015232280401245,+,0.05541942443890198,-0.138073053811819,-0.16132550103418197,-0.08229338307511505,-0.1277202391376988,0.1090549686069012,0.21021282597018331,9,-452.80330905714794,924.4174289251067,0,0.174063282344324,osm_anthro_df_2021_2022,bear
3750 meter buffer,-0.6013649836042952,+,0.051120725143108676,-0.13953450017508576,-0.15194464071883323,-0.08645588244254566,-0.11545828598398453,0.10791337552351096,0.19458596934522618,9,-452.8904457356773,924.5917022821654,0.17427335705872338,0.159538017203966,osm_anthro_df_2021_2022,bear
3500 meter buffer,-0.6006633201290854,+,0.0479053978686815,-0.12556482478285944,-0.15595893530793178,-0.08425655140124066,-0.10015801364744392,0.09872114821589674,0.1748819847125977,9,-453.4031503195583,925.6171114499274,1.1996825248206733,0.0955431198481728,osm_anthro_df_2021_2022,bear
4250 meter buffer,-0.600676918086027,+,0.06464311465992913,-0.13244959278556426,-0.15004063180568064,-0.08576510228568561,-0.1467179610782323,0.10781803113908282,0.21445981381798218,9,-453.50055457014355,925.8119199510979,1.3944910259912149,0.0866756864827696,osm_anthro_df_2021_2022,bear
3250 meter buffer,-0.6003572890941857,+,0.05221539562168739,-0.11428428437384047,-0.1617148406736966,-0.08254602305581352,-0.09434334629726639,0.09166206961001962,0.1722251841691319,9,-453.5363126465758,925.8834361039625,1.4660071788557616,0.0836310895310006,osm_anthro_df_2021_2022,bear
250 meter buffer,-0.5947385749336472,+,0.014482117754891125,0.040705860331229624,-0.07483023465669937,-0.13575398891057766,-0.019586477758275503,0.1337610195639805,-0.007107040536359538,9,-453.64969389162906,926.110198594069,1.692769668962228,0.0746666910872076,osm_anthro_df_2021_2022,bear
4500 meter buffer,-0.6006908812288683,+,0.06537874822764192,-0.12619486933676954,-0.14824551982942202,-0.08715346022923469,-0.14886063421059942,0.10723717552731535,0.21494623499166948,9,-453.7218916077054,926.2545940262216,1.8371651011149197,0.0694659270562423,osm_anthro_df_2021_2022,bear
4750 meter buffer,-0.600480577379703,+,0.06567351553481116,-0.12166185031148281,-0.14588034194514587,-0.08945536269062924,-0.1503980534977049,0.10538003340160164,0.21126195844104123,9,-454.0836616372987,926.9781340854082,2.560705160301495,0.048379024639819,osm_anthro_df_2021_2022,bear
3000 meter buffer,-0.5993262629223185,+,0.05157993145573454,-0.1007143916137271,-0.16372883508689418,-0.08421909450285772,-0.08098250733194365,0.07872619016731756,0.16299082416817443,9,-454.2466110881911,927.3040329871931,2.8866040620863487,0.0411044707798833,osm_anthro_df_2021_2022,bear
2750 meter buffer,-0.5986615572714574,+,0.05077139141689736,-0.08757547363710379,-0.16571955047615355,-0.08584863482442272,-0.08104547609878122,0.07847707522135713,0.1570188607868916,9,-454.35001042500085,927.5108316608125,3.0934027357058085,0.0370666467888391,osm_anthro_df_2021_2022,bear
5000 meter buffer,-0.5999001851392873,+,0.06687889574915232,-0.11836056843548996,-0.14452363894504844,-0.09168570772551667,-0.15026428021156954,0.10128633490292939,0.2109853736720257,9,-454.4271969069921,927.665204624795,3.2477756996883045,0.0343132327723608,osm_anthro_df_2021_2022,bear
