Model,cond((Int)),disp((Int)),cond(scale(harvest)),cond(scale(lc_developed)),cond(scale(lc_forest)),cond(scale(lc_grassland)),cond(scale(osm_industrial)),cond(scale(pipeline_transmission_lines)),cond(scale(seismic_lines_3D)),cond(scale(seismic_lines)),cond(scale(trails)),cond(scale(wells)),df,logLik,AICc,delta,weight,Dataset,species
250 meter buffer,-0.5980168998086552,+,0.007994002141324077,-0.18817816349593788,-0.11732955047641307,-0.0016339196294939253,0.03304953157495829,-0.07254972651655793,-0.11689599478077947,-0.017829958079151147,0.12649868147420973,-0.011183986758499806,12,-448.96087685043057,923.3464112351077,0,0.678117928990583,osm_final_df_2021_2022,bear
3750 meter buffer,-0.5985158999650573,+,0.0637372425664239,-0.12238956010869481,-0.0185778229553258,-0.03364485661451988,-0.11061022325303686,-0.11564161453453835,-0.12165052665930094,-0.121164519625581,0.10384016382636752,0.28508132334722586,12,-451.5356519253882,928.495961385023,5.149550149915285,0.0516528893227335,osm_final_df_2021_2022,bear
4000 meter buffer,-0.5988957601784084,+,0.06691273565995437,-0.11741931791097887,-0.019160941739740114,-0.021771807784926267,-0.1109314163551929,-0.1273159525580213,-0.11602585767015061,-0.12741813260565102,0.10412185810085725,0.2881730489539306,12,-451.61425203017916,928.6531615946049,5.306750359497187,0.0477484224951808,osm_final_df_2021_2022,bear
3500 meter buffer,-0.5983174574808504,+,0.055592270152707485,-0.11954337367215952,-0.004563476657192954,-0.02707437465366703,-0.09347122505491881,-0.12514481544547107,-0.1136758159025512,-0.10577448074244175,0.09673125871493367,0.26178687763377906,12,-452.1408207193389,929.7062989729243,6.359887737816621,0.0282015612664813,osm_final_df_2021_2022,bear
3250 meter buffer,-0.5979958742488767,+,0.05768414320587187,-0.11757690855722291,0.005321372805771864,-0.02788799123210229,-0.08098843293805205,-0.13400657028916588,-0.10980178960916066,-0.0999738355095872,0.09012449861623269,0.26161861827403615,12,-452.2349750829519,929.8946077001503,6.548196465042679,0.0256674326656922,osm_final_df_2021_2022,bear
4250 meter buffer,-0.5985902598315568,+,0.07415703993956559,-0.11001361035198343,-0.030798057041461078,-0.01754903053164919,-0.11064134681282019,-0.11108057123079212,-0.11914449791945712,-0.14162573400084816,0.10153307884812597,0.27289486420814846,12,-452.4706934422718,930.3660444187901,7.019633183682458,0.0202773523920145,osm_final_df_2021_2022,bear
2750 meter buffer,-0.5964812675216161,+,0.05159339315422028,-0.12577733963805965,0.02442892153854133,-0.03948492874072125,-0.049156036434434454,-0.1367385072237552,-0.11251623751320136,-0.09440463387253471,0.07928798554537668,0.2593035522372181,12,-452.4740588157328,930.3727751657121,7.026363930604475,0.0202092262277059,osm_final_df_2021_2022,bear
3000 meter buffer,-0.5969842390403659,+,0.05435244286867049,-0.11949518610290552,0.016129792700991127,-0.035466584384717975,-0.06456633078876059,-0.13648825322003957,-0.1103608298906346,-0.09113884039183869,0.07835177107679202,0.2597406073909126,12,-452.6879476855128,930.8005529052722,7.454141670164518,0.0163176994462679,osm_final_df_2021_2022,bear
2500 meter buffer,-0.5953181894999565,+,0.043643124336937685,-0.12320850740381013,0.02873140236826327,-0.06095567066846151,-0.038812955111317785,-0.11762028053957772,-0.11178885621586515,-0.09321000695026153,0.08614512941880037,0.24078161797179376,12,-452.81002407348285,931.0447056812122,7.698294446104569,0.0144424817685779,osm_final_df_2021_2022,bear
4500 meter buffer,-0.5981399145559622,+,0.08445583476859013,-0.0958279428516708,-0.04134162853011474,-0.02206440007898479,-0.11772738732435738,-0.10938326770912658,-0.12538199987050427,-0.15659264990846977,0.1004296494273364,0.28167893122965243,12,-452.8167786304645,931.0582147951756,7.711803560067892,0.0143452579241591,osm_final_df_2021_2022,bear
