Model,cond((Int)),disp((Int)),cond(scale(lc_developed)),cond(scale(lc_forest)),cond(scale(lc_grassland)),df,logLik,AICc,delta,weight,Dataset,species
250 meter buffer,-0.5940061725567014,+,-0.22455623444186476,-0.16654596600080412,-0.03388868182810753,5,-456.39511384269935,923.0557144110624,0,0.914581004235674,osm_anthro_df_2021_2022,bear
500 meter buffer,-0.5921418832555684,+,-0.12596244096782952,-0.06202009510598381,0.0189681861922514,5,-460.98988803947867,932.245262804621,9.189548393558653,0.00924138572596055,osm_anthro_df_2021_2022,bear
1000 meter buffer,-0.5902569716355748,+,-0.089927574552472,0.008256352909081825,-0.032115782753016464,5,-461.08128431402145,932.4280553537066,9.3723409426442,0.008434205917646,osm_anthro_df_2021_2022,bear
1250 meter buffer,-0.5899129799276043,+,-0.09248091854994607,-0.00978906525677699,-0.03520474558822415,5,-461.14604074561953,932.5575682169027,9.50185380584037,0.00790534520267333,osm_anthro_df_2021_2022,bear
750 meter buffer,-0.5913419787190085,+,-0.10334652792296566,-0.005930996194258643,-7.372825798791135e-4,5,-461.41516668736875,933.0958201004012,10.040105689338816,0.00604005547713782,osm_anthro_df_2021_2022,bear
1500 meter buffer,-0.5892872181972363,+,-0.08210297293164676,-0.007234420483686418,-0.028484293153206063,5,-461.54498010529784,933.3554469362593,10.299732525196987,0.00530473479305399,osm_anthro_df_2021_2022,bear
2000 meter buffer,-0.5885889541366587,+,-0.06772305564717557,0.02071039066465943,-0.029079206075629707,5,-461.6239754066524,933.5134375389684,10.457723127906092,0.00490180976918688,osm_anthro_df_2021_2022,bear
2250 meter buffer,-0.5881482677541391,+,-0.061757955812989235,0.02095373041252332,-0.03548692716504686,5,-461.6913799399071,933.6482466054779,10.592532194415526,0.00458229490834564,osm_anthro_df_2021_2022,bear
2500 meter buffer,-0.5882894552482517,+,-0.06528587544322989,0.017800095160793245,-0.02745812743896559,5,-461.79850117090933,933.8624890674823,10.806774656419975,0.00411681050104479,osm_anthro_df_2021_2022,bear
1750 meter buffer,-0.5888792155984512,+,-0.06971220012223818,0.008760171838392266,-0.022305473489822928,5,-461.83271417381417,933.930915073292,10.875200662229645,0.00397834423116906,osm_anthro_df_2021_2022,bear
2750 meter buffer,-0.5889257623735765,+,-0.07668298229840326,0.014033316529374723,-0.005435399884116035,5,-461.8822043179349,934.0298953615335,10.974180950471123,0.00378624804226569,osm_anthro_df_2021_2022,bear
3000 meter buffer,-0.5889580147563215,+,-0.07805944142817524,0.008553426305783462,-0.003675240240691517,5,-461.9418216359905,934.1491299976446,11.093415586582296,0.00356711893240674,osm_anthro_df_2021_2022,bear
3500 meter buffer,-0.5892279521926539,+,-0.0839803061941015,-0.015144121733799726,4.5161734956027804e-4,5,-462.0006205231846,934.2667277720328,11.211013360970469,0.00336342352349601,osm_anthro_df_2021_2022,bear
3750 meter buffer,-0.5894917722059754,+,-0.08584490794554943,-0.02424901145176908,0.005761592387943861,5,-462.01076932040985,934.2870253664834,11.231310955421009,0.00332946144878005,osm_anthro_df_2021_2022,bear
3250 meter buffer,-0.589014184967057,+,-0.07954595308914846,-0.004495071350745989,-0.0014421209098366247,5,-462.04644902453543,934.3583847747345,11.302670363672178,0.0032127615385781,osm_anthro_df_2021_2022,bear
4000 meter buffer,-0.5898104471573787,+,-0.0862976927795573,-0.02875207096245408,0.014787616900181292,5,-462.0493363914672,934.364159508598,11.308445097535696,0.0032034984964881,osm_anthro_df_2021_2022,bear
4250 meter buffer,-0.5900127597217794,+,-0.0811635552481279,-0.0344586981169251,0.0192829301435167,5,-462.1780696001742,934.621625926012,11.565911514949676,0.00281654310602607,osm_anthro_df_2021_2022,bear
4500 meter buffer,-0.5900675767870436,+,-0.07534982115834112,-0.042564860600423464,0.019578413732559023,5,-462.2520503105145,934.7695873466927,11.71387293563032,0.0026156943124167,osm_anthro_df_2021_2022,bear
5000 meter buffer,-0.5896615803027954,+,-0.06409368750558642,-0.05588304714472865,0.002086233014372793,5,-462.2547377364183,934.7749621985002,11.719247787437894,0.00260867426491892,osm_anthro_df_2021_2022,bear
4750 meter buffer,-0.5896031776657815,+,-0.06501600798623086,-0.04835662810297767,0.004621129807834949,5,-462.3337101900041,934.9329071056719,11.877192694609562,0.00241058557273152,osm_anthro_df_2021_2022,bear
250 meter buffer,-5.039743696940077,+,-0.0792052909234369,0.22176828493405423,-0.15411729237609562,5,-150.5854180837272,311.43632289311813,0,0.221516248776374,osm_anthro_df_2021_2022,caribou
1250 meter buffer,-5.073362559659187,+,-0.4757358371293093,0.11828433879138166,-0.1206114352681207,5,-151.19894651522438,312.6633797561125,1.2270568629943455,0.119937108936793,osm_anthro_df_2021_2022,caribou
1500 meter buffer,-5.073111151514043,+,-0.4644217341945584,0.12161639236749865,-0.1427926540673728,5,-151.2090225543973,312.68353183445834,1.2472089413402045,0.118734685932644,osm_anthro_df_2021_2022,caribou
500 meter buffer,-5.0206000548147465,+,0.02154319509568305,0.23999553453706624,-0.12290175578700613,5,-151.38834066534514,313.042168056354,1.6058451632358697,0.0992431960022224,osm_anthro_df_2021_2022,caribou
750 meter buffer,-5.0229800212443525,+,-0.10813319499622873,0.19759262003718903,-0.1522461361711364,5,-151.56610024590626,313.39768721747623,1.961364324358101,0.083080812818365,osm_anthro_df_2021_2022,caribou
1750 meter buffer,-5.073948188231659,+,-0.5221211745021517,0.10618145458441507,-0.10122005779157571,5,-151.6440760065559,313.55363873877553,2.1173158456574015,0.0768486591243067,osm_anthro_df_2021_2022,caribou
1000 meter buffer,-5.039413081776297,+,-0.3312304908287024,0.1421414842878543,-0.09792317661907718,5,-151.91913135670322,314.10374943907016,2.6674265459520257,0.0583688683631669,osm_anthro_df_2021_2022,caribou
2000 meter buffer,-5.036071660091265,+,-0.41612035366056654,0.09046714817243777,-0.08011250684521132,5,-152.5765628783556,315.4186124823749,3.982289589256766,0.0302456130274261,osm_anthro_df_2021_2022,caribou
4750 meter buffer,-5.016494466297163,+,0.022124722996247743,-0.050299763850278234,-0.20895635057956027,5,-152.91498406884355,316.0954548633508,4.659131970232693,0.0215619450917521,osm_anthro_df_2021_2022,caribou
4500 meter buffer,-5.021823552919098,+,0.09100184516215518,-0.03888772347188552,-0.21200636539813753,5,-152.95226088967797,316.17000850501967,4.733685611901535,0.0207729807267821,osm_anthro_df_2021_2022,caribou
2250 meter buffer,-5.017427726459175,+,-0.33761804235327614,0.07488764389194251,-0.08964833899416905,5,-152.98095783597867,316.22740239762106,4.791079504502932,0.0201853318066869,osm_anthro_df_2021_2022,caribou
5000 meter buffer,-5.020684531160448,+,0.09191273438094913,-0.0598315190355851,-0.19529503169302953,5,-153.01086630340106,316.28721933246584,4.850896439347707,0.0195905581872172,osm_anthro_df_2021_2022,caribou
4250 meter buffer,-5.017736654802242,+,0.10874223330755294,-0.03548460960970392,-0.18805158153677232,5,-153.13335462942266,316.53219598450903,5.095873091390899,0.0173320848425731,osm_anthro_df_2021_2022,caribou
2500 meter buffer,-5.007386756933539,+,-0.2940708799458285,0.05785025517721394,-0.09180165646454393,5,-153.20634195774014,316.678170641144,5.241847748025862,0.0161121246221678,osm_anthro_df_2021_2022,caribou
2750 meter buffer,-5.002109628668822,+,-0.26287405521000135,0.043151888533869656,-0.09703247058526719,5,-153.31600872976168,316.8975041851871,5.461181292068943,0.0144386017732217,osm_anthro_df_2021_2022,caribou
4000 meter buffer,-5.014756973234113,+,0.12757463065021266,-0.03837753512456116,-0.15636929712926254,5,-153.3352886260335,316.9360639777307,5.4997410846125945,0.0141628933836452,osm_anthro_df_2021_2022,caribou
3750 meter buffer,-4.9956395286561,+,-0.01349520500388215,-0.023504821260828933,-0.13742783162387173,5,-153.45547582686038,317.1764383793845,5.7401154862663475,0.0125590083081875,osm_anthro_df_2021_2022,caribou
3500 meter buffer,-4.993128380385837,+,-0.05918197420390325,-0.0017967852814300361,-0.1312367397597129,5,-153.47958236494742,317.22465145555856,5.788328562440427,0.012259874126898,osm_anthro_df_2021_2022,caribou
