Site,BUFF_DIST,FEATURE_TYVEGETATED.EDGE.ROADS,FEATURE_TYHARVEST.AREA,FEATURE_TYROAD.GRAVEL.1L,FEATURE_TYCONVENTIONAL.SEISMIC,FEATURE_TYTAME_PASTURE,FEATURE_TYPIPELINE,FEATURE_TYROAD.GRAVEL.2L,FEATURE_TYTRAIL,FEATURE_TYWELL.BITUMEN,FEATURE_TYROUGH_PASTURE,FEATURE_TYWELL.ABAND,FEATURE_TYROAD.UNCLASSIFIED,FEATURE_TYCROP,FEATURE_TYLOW.IMPACT.SEISMIC,FEATURE_TYCLEARING.UNKNOWN,FEATURE_TYCULTIVATION_ABANDONED,FEATURE_TYROAD.PAVED.UNDIV.2L,FEATURE_TYROAD.UNIMPROVED,FEATURE_TYTRUCK.TRAIL,FEATURE_TYDUGOUT,FEATURE_TYROAD.PAVED.UNDIV.1L,FEATURE_TYWELL.GAS,FEATURE_TYVEGETATED.EDGE.RAILWAYS,FEATURE_TYHARVEST.AREA.WHITE.ZONE,FEATURE_TYCOUNTRY.RESIDENCE,FEATURE_TYBORROWPIT.DRY,FEATURE_TYRURAL.RESIDENCE,FEATURE_TYBORROWPIT.WET,FEATURE_TYBORROWPITS,FEATURE_TYGRVL.SAND.PIT,FEATURE_TYRIS.RECLAIMED.TEMP,FEATURE_TYRIS.CLEARING.UNKNOWN,FEATURE_TYRIS.DRAINAGE,FEATURE_TYRIS.MINES.OILSANDS,FEATURE_TYRIS.OVERBURDEN.DUMP,FEATURE_TYRIS.FACILITY.OPERATIONS,FEATURE_TYTRANSMISSION.LINE,FEATURE_TYRIS.TAILING.POND,FEATURE_TYCLEARING.WELLPAD.UNCONFIRMED,FEATURE_TYMINES.OILSANDS,FEATURE_TYRIS.SOIL.REPLACED,FEATURE_TYROAD.PAVED.1L,FEATURE_TYRIS.OILSANDS.RMS,FEATURE_TYRIS.FACILITY.UNKNOWN,FEATURE_TYRIS.BORROWPITS,FEATURE_TYRIS.TRANSMISSION.LINE,FEATURE_TYRIS.SOIL.SALVAGED,FEATURE_TYRIS.ROAD,FEATURE_TYRIS.PLANT,FEATURE_TYURBAN.RESIDENCE,FEATURE_TYFACILITY.OTHER,FEATURE_TYAIRP.RUNWAY,FEATURE_TYRUNWAY,FEATURE_TYRIS.RECLAIMED.PERMANENT,FEATURE_TYURBAN.INDUSTRIAL,FEATURE_TYLAGOON,FEATURE_TYFACILITY.UNKNOWN,FEATURE_TYRESIDENCE_CLEARING,FEATURE_TYWELL.CASED,FEATURE_TYROAD.UNPAVED.2L,FEATURE_TYROAD.PAVED.3L,FEATURE_TYSURROUNDING.VEG,FEATURE_TYRLWY.SGL.TRACK,FEATURE_TYROAD.WINTER,FEATURE_TYSUMP,FEATURE_TYGREENSPACE,FEATURE_TYROAD.PAVED.2L,FEATURE_TYWELL.OTHER,FEATURE_TYCANAL,FEATURE_TYRESERVOIR,FEATURE_TYWELL_CLEARED_NOT_CONFIRMED,FEATURE_TYMISC.OIL.GAS.FACILITY,FEATURE_TYCAMP.INDUSTRIAL,FEATURE_TYRIS.CAMP.INDUSTRIAL,FEATURE_TYOIL.GAS.PLANT,FEATURE_TYWELL.UNKNOWN,FEATURE_TYRIS.UTILITIES,FEATURE_TYCFO,FEATURE_TYRECREATION,FEATURE_TYCAMPGROUND,FEATURE_TYPEAT,FEATURE_TYGOLFCOURSE,FEATURE_TYLANDFILL,FEATURE_TYTRANSFER_STATION,FEATURE_TYMILL,FEATURE_TYROAD.PAVED.DIV,FEATURE_TYRLWY.SPUR,FEATURE_TYWELL_CLEARED_NOT_DRILLED,FEATURE_TYOPEN.PIT.MINE,FEATURE_TYWELL.OIL,FEATURE_TYROAD.PAVED.4L,FEATURE_TYMINES.PITLAKE,FEATURE_TYRIS.RECLAIMED.CERTIFIED,FEATURE_TYRIS.WINDROW,FEATURE_TYTAILING.POND,FEATURE_TYRLWY.MLT.TRACK,FEATURE_TYRLWY.DBL.TRACK,FEATURE_TYRIS.WASTE,FEATURE_TYINTERCHANGE.RAMP,FEATURE_TYROAD.PAVED.5L,FEATURE_TYRIS.AIRP.RUNWAY,FEATURE_TYFRUIT.VEGETABLES,FEATURE_TYROAD.UNPAVED.1L,FEATURE_TYRIS.RECLAIM.READY,FEATURE_TYRIS.TANK.FARM
LU13_18,250,0,0,0,0,0,0,0,0.005880185,0,0,0,0,0,0,0.092340319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064216416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.290535139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU13_15,250,0.085773205,0,0,0.032763479,0,0.06796211,0,0.002801269,0,0,0,0,0,0,0.069682331,0,0.017418654,0,0,0,0,0,0,0,0,0,0,0,0,0.087317462,0.047699236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU13_03,250,0,0.687004684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU13_34,250,0,0.336894836,0,0.008887646,0,0,0,0.001964614,0,0,0,0,0,0,0,0,0,0,0.01394618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU13_57,250,0,0,0,0.011447957,0,0.030106266,0,0,0,0,0.0321774,0,0,0.052325388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091034878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU13_16,250,0,0,0,0.007469447,0,0,0,0,0,0,0,0,0,0,0.193777935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.247622509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU13_21,250,0.00061332,0,0,0,0,0.045674662,0,0.012264063,0,0,0,0,0,0,0.18135002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122853076,0.04155879,0,0,0,0,0,0,0,0,0,0,0.021805927,0,0,0.200979028,0,0,0,0,0,0,0,0,0,0,0,0,0,0.052775132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU13_37,250,0.102179514,0,0,0.015640266,0,0,0.031283301,0,0,0,0.012161776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU13_55,250,0.094020667,0,0,0,0,0,0.028594626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LU13_47,250,0.008085609,0,0,0.009765762,0,0.038323668,0,0,0,0,0.002281351,0,0,0.059988802,0,0,0,0.053302305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109690711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
