"Site","BUFF_DIST","FEATURE_TYPIPELINE","FEATURE_TYHARVEST.AREA","FEATURE_TYWELL.BITUMEN","FEATURE_TYHARVEST.AREA.WHITE.ZONE","FEATURE_TYMISC.OIL.GAS.FACILITY","FEATURE_TYWELL.OTHER","FEATURE_TYCONVENTIONAL.SEISMIC","FEATURE_TYLOW.IMPACT.SEISMIC","FEATURE_TYTRAIL","FEATURE_TYROUGH_PASTURE","FEATURE_TYCROP","FEATURE_TYWELL.ABAND","FEATURE_TYWELL.GAS","FEATURE_TYWELL.CASED","FEATURE_TYFACILITY.OTHER","FEATURE_TYFACILITY.UNKNOWN","FEATURE_TYCLEARING.WELLPAD.UNCONFIRMED","FEATURE_TYCLEARING.UNKNOWN","FEATURE_TYVEGETATED.EDGE.ROADS","FEATURE_TYTAME_PASTURE","FEATURE_TYROAD.PAVED.UNDIV.2L","FEATURE_TYROAD.GRAVEL.1L","FEATURE_TYROAD.GRAVEL.2L","FEATURE_TYROAD.UNIMPROVED","FEATURE_TYTRUCK.TRAIL","FEATURE_TYBORROWPIT.DRY","FEATURE_TYSUMP","FEATURE_TYCULTIVATION_ABANDONED","FEATURE_TYRURAL.RESIDENCE","FEATURE_TYOPEN.PIT.MINE","FEATURE_TYGRVL.SAND.PIT","FEATURE_TYROAD.UNCLASSIFIED","FEATURE_TYROAD.PAVED.UNDIV.1L","FEATURE_TYBORROWPITS","FEATURE_TYBORROWPIT.WET","FEATURE_TYDUGOUT","FEATURE_TYRIS.CLEARING.UNKNOWN","FEATURE_TYRIS.DRAINAGE","FEATURE_TYMINES.OILSANDS","FEATURE_TYTRANSMISSION.LINE","FEATURE_TYRIS.TRANSMISSION.LINE","FEATURE_TYWELL_CLEARED_NOT_CONFIRMED","FEATURE_TYRIS.FACILITY.UNKNOWN","FEATURE_TYRIS.FACILITY.OPERATIONS","FEATURE_TYRIS.RECLAIMED.PERMANENT","FEATURE_TYRIS.SOIL.REPLACED","FEATURE_TYRIS.RECLAIMED.TEMP","FEATURE_TYRIS.ROAD","FEATURE_TYRIS.BORROWPITS","FEATURE_TYRESERVOIR","FEATURE_TYCAMPGROUND","FEATURE_TYOIL.GAS.PLANT","FEATURE_TYCOUNTRY.RESIDENCE","FEATURE_TYCAMP.INDUSTRIAL","FEATURE_TYTAILING.POND","FEATURE_TYWELL.UNKNOWN","FEATURE_TYLAGOON","FEATURE_TYRESIDENCE_CLEARING","FEATURE_TYRECREATION","FEATURE_TYWELL_CLEARED_NOT_DRILLED","FEATURE_TYRUNWAY","FEATURE_TYSURROUNDING.VEG","FEATURE_TYRIS.CAMP.INDUSTRIAL","FEATURE_TYRIS.OVERBURDEN.DUMP","FEATURE_TYRIS.OILSANDS.RMS","FEATURE_TYRIS.SOIL.SALVAGED","FEATURE_TYRIS.MINES.OILSANDS","FEATURE_TYURBAN.RESIDENCE","FEATURE_TYGREENSPACE","FEATURE_TYRIS.UTILITIES","FEATURE_TYRIS.PLANT","FEATURE_TYURBAN.INDUSTRIAL","FEATURE_TYRIS.WINDROW","FEATURE_TYRIS.TAILING.POND","FEATURE_TYRIS.WASTE","FEATURE_TYRIS.RECLAIM.READY","FEATURE_TYROAD.PAVED.DIV","FEATURE_TYAIRP.RUNWAY","FEATURE_TYRIS.AIRP.RUNWAY"
"LU13_18","250","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0923403187137804","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU13_15","250","0.0679621097749252","0","0","0","0","0","0.0327634789340918","0","0.00280126948491257","0","0","0","0","0","0","0","0","0.069682330809824","0.0857732052363858","0","0.0174186541765489","0","0","0","0","0","0","0","0","0","0.0873174623507306","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0476992360505124","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU13_03","250","0","0.633973978024937","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU13_34","250","0","0","0","0","0","0","0","0","0.00196461420196919","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU13_57","250","0.0301062655746399","0","0","0","0","0","0.0114479574211811","0.00221135735697128","0","0","0","0.032177399559322","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU13_16","250","0","0","0","0","0","0","0.00746944736279698","0","0","0","0","0","0","0","0","0","0","0.193777935045252","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU13_21","250","0.0456746618927868","0","0","0","0","0","0","0","0.0101321707687362","0","0","0","0","0","0","0","0","0.181350020452224","0.000613319940106231","0","0","0","0","0","0","0","0.0527751321769424","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.122853075666116","0","0","0","0.0218059270290076","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU13_37","250","0","0","0","0","0","0","0.0156402655288562","0","0","0","0","0.012161775751554","0","0","0","0","0","0","0.102179513613058","0","0","0","0.03128330141818","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU13_55","250","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0940206672882926","0","0","0","0.0285946256889769","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU13_47","250","0.0383236678043488","0","0","0","0","0","0.0097657623549181","0.000148219558854248","0","0","0","0.00228135095380005","0","0","0","0","0","0","0.00808560911995068","0","0","0","0","0","0","0","0.109690711101868","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU13_51","250","0.240203570185445","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0156210732437183","0","0","0.0160233740973719","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU13_27","250","0.0606378872344864","0","0","0","0","0","0.000497556536942303","0","0","0","0","0","0","0","0","0","0","0","0.0173584435216965","0","0","0.0170391767393091","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU13_05","250","0.264375393087172","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0171277577914189","0","0","0.0172646844835016","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0922595100312001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU13_26","250","0.0930818962297896","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0209108420802695","0","0","0.0208753486628054","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU13_35","250","0","0","0","0","0","0","0.00831221449549376","0","0","0","0","0.0167029557539161","0","0","0","0","0","0.0104397060111373","0.0631741270463485","0","0","0","0.0206621542964919","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU13_13","250","0","0","0","0","0","0","0.00503263865411298","0","0","0","0","0.00142942099156966","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU13_128","250","0","0","0","0","0","0","0.0125188919556701","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0149944996846886","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU13_131","250","0","0","0","0","0","0","0.0110108125256288","0","0","0","0","0.0193923460943423","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU13_12","250","0","0","0","0","0","0","0.0369686355714359","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU13_33","250","0.11416573107445","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0230447999714999","0","0","0.0229175784524038","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LU13_32","250","0.101230336348582","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0214904660428089","0","0","0.0214604381335983","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
