Site,BUFF_DIST,LC_class20,LC_class32,LC_class33,LC_class34,LC_class50,LC_class110,LC_class120,LC_class210,LC_class220,LC_class230
LU13_18,250,0.036072097,0,0,0,0.315516926,0.1928166,0,0.455594377,0,0
LU13_15,250,0,0,0.101238543,0.091599197,0,0.34823324,0,0.358325519,0,0.100603367
LU13_03,250,0,0,0,0,0.55876145,0,0,0.185976544,0,0.255262006
LU13_34,250,0,0,0,0,0,0,0,1,0,0
LU13_57,250,0,0,0,0,0,0.178421403,0,0.821578597,0,0
LU13_16,250,0.180810673,0,0,0,0,0,0,0.688877393,0.130311934,0
LU13_21,250,0.071035165,0,0.02304566,0.195040738,0.322081901,0.106014739,0,0.2827818,0,0
LU13_37,250,0,0,0,0,0,0,0,1,0,0
LU13_55,250,0,0,0,0,0.608256746,0,0,0.391743254,0,0
LU13_47,250,0,0,0,0,0,0,0,1,0,0
LU13_51,250,0,0,0,0,0,0.108578721,0,0.891421279,0,0
LU13_27,250,0,0,0,0,0,0.13957314,0,0.86042686,0,0
LU13_05,250,0,0,0,0,0,0.158272115,0,0.841727885,0,0
LU13_26,250,0,0,0,0,0,0.203108252,0,0.796891748,0,0
LU13_35,250,0,0,0,0,0.339022238,0,0,0.660977762,0,0
LU13_13,250,0,0,0,0,0,0,0,0.833361124,0.166638876,0
LU13_128,250,0,0,0,0,0.241483228,0,0,0.758516772,0,0
LU13_131,250,0,0,0,0,0.324734494,0.010270419,0,0.664995088,0,0
LU13_12,250,0,0,0,0,0,0.058659026,0,0.941340974,0,0
LU13_33,250,0,0,0,0,0,0.530401227,0,0.469598773,0,0
LU13_32,250,0,0,0,0,0.113714171,0.342065351,0,0.544220478,0,0
LU13_30,250,0,0,0,0,0,0.102437442,0,0.897562558,0,0
LU13_53,250,0,0,0,0,0,0,0,1,0,0
LU13_22,250,0,0,0,0,0,0,0,0.292503871,0.576704013,0.130792115
LU13_19,250,0,0,0,0,0,0.147369761,0,0.852630239,0,0
LU13_45,250,0,0,0,0,0,0.032033466,0,0.967966534,0,0
LU13_08,250,0,0,0,0,0,0.049007831,0,0.950992169,0,0
LU13_43,250,0,0,0,0,0,0.084157415,0,0.915842585,0,0
LU13_41,250,0,0,0,0,0,0.171390193,0,0.828609807,0,0
LU13_59,250,0,0,0,0,0,0,0,1,0,0
LU13_06,250,0,0,0,0,0,0,0,1,0,0
LU13_14,250,0,0,0,0,0,0.09919436,0,0.378373653,0,0.522431987
LU13_52,250,0,0,0,0,0,0,0,1,0,0
LU13_36,250,0,0,0,0,0.18094883,0,0,0.81905117,0,0
LU13_38,250,0,0,0,0,0.29149684,0,0,0.70850316,0,0
LU13_20,250,0,0,0,0,0.013636837,0,0,0.986032518,0.000330645,0
LU13_17,250,0,0,0,0,0,0,0,1,0,0
LU13_56,250,0,0,0,0,0,0,0,0.873729492,0.126270508,0
LU13_49,250,0,0,0,0,0,0,0,1,0,0
LU13_70,250,0,0,0,0.061751926,0,0,0,0.938248195,0,0
LU13_11,250,0.077659059,0,0.125065301,0.178504256,0,0,0,0.618771411,0,0
