"Site","BUFF_DIST","LC_class20","LC_class32","LC_class33","LC_class34","LC_class50","LC_class110","LC_class120","LC_class210","LC_class220","LC_class230"
"LU13_18","250","0.142857142857143","0","0","0","0.285714285714286","0.142857142857143","0","0.428571428571429","0","0"
"LU13_15","250","0","0","0.2","0.2","0","0.2","0","0.2","0","0.2"
"LU13_03","250","0","0","0","0","0.333333333333333","0","0","0.333333333333333","0","0.333333333333333"
"LU13_34","250","0","0","0","0","0","0","0","1","0","0"
"LU13_57","250","0","0","0","0","0","0.333333333333333","0","0.666666666666667","0","0"
"LU13_16","250","0.25","0","0","0","0","0","0","0.5","0.25","0"
"LU13_21","250","0.142857142857143","0","0.142857142857143","0.142857142857143","0.142857142857143","0.142857142857143","0","0.285714285714286","0","0"
"LU13_37","250","0","0","0","0","0","0","0","1","0","0"
"LU13_55","250","0","0","0","0","0.666666666666667","0","0","0.333333333333333","0","0"
"LU13_47","250","0","0","0","0","0","0","0","1","0","0"
"LU13_51","250","0","0","0","0","0","0.333333333333333","0","0.666666666666667","0","0"
"LU13_27","250","0","0","0","0","0","0.333333333333333","0","0.666666666666667","0","0"
"LU13_05","250","0","0","0","0","0","0.333333333333333","0","0.666666666666667","0","0"
"LU13_26","250","0","0","0","0","0","0.333333333333333","0","0.666666666666667","0","0"
"LU13_35","250","0","0","0","0","0.5","0","0","0.5","0","0"
"LU13_13","250","0","0","0","0","0","0","0","0.5","0.5","0"
"LU13_128","250","0","0","0","0","0.5","0","0","0.5","0","0"
"LU13_131","250","0","0","0","0","0.25","0.25","0","0.5","0","0"
"LU13_12","250","0","0","0","0","0","0.5","0","0.5","0","0"
"LU13_33","250","0","0","0","0","0","0.333333333333333","0","0.666666666666667","0","0"
"LU13_32","250","0","0","0","0","0.25","0.25","0","0.5","0","0"
"LU13_30","250","0","0","0","0","0","0.5","0","0.5","0","0"
"LU13_53","250","0","0","0","0","0","0","0","1","0","0"
"LU13_22","250","0","0","0","0","0","0","0","0.333333333333333","0.333333333333333","0.333333333333333"
"LU13_19","250","0","0","0","0","0","0.5","0","0.5","0","0"
"LU13_45","250","0","0","0","0","0","0.5","0","0.5","0","0"
"LU13_08","250","0","0","0","0","0","0.5","0","0.5","0","0"
"LU13_43","250","0","0","0","0","0","0.5","0","0.5","0","0"
"LU13_41","250","0","0","0","0","0","0.333333333333333","0","0.666666666666667","0","0"
"LU13_59","250","0","0","0","0","0","0","0","1","0","0"
"LU13_06","250","0","0","0","0","0","0","0","1","0","0"
"LU13_14","250","0","0","0","0","0","0.333333333333333","0","0.333333333333333","0","0.333333333333333"
"LU13_52","250","0","0","0","0","0","0","0","1","0","0"
"LU13_36","250","0","0","0","0","0.5","0","0","0.5","0","0"
"LU13_38","250","0","0","0","0","0.666666666666667","0","0","0.333333333333333","0","0"
"LU13_20","250","0","0","0","0","0.333333333333333","0","0","0.333333333333333","0.333333333333333","0"
"LU13_17","250","0","0","0","0","0","0","0","1","0","0"
"LU13_56","250","0","0","0","0","0","0","0","0.5","0.5","0"
"LU13_49","250","0","0","0","0","0","0","0","1","0","0"
"LU13_70","250","0","0","0","0.5","0","0","0","0.5","0","0"
"LU13_11","250","0.25","0","0.25","0.25","0","0","0","0.25","0","0"
"LU15_44","250","0","0","0","0.333333333333333","0","0.333333333333333","0","0.333333333333333","0","0"
"LU15_11","250","0","0","0","0.333333333333333","0","0.333333333333333","0","0.333333333333333","0","0"
"LU15_19","250","0","0","0","0.5","0","0","0","0.5","0","0"
"LU15_07","250","0","0","0","0.5","0","0","0","0.5","0","0"
"LU15_34","250","0","0","0","0.2","0.4","0","0","0.2","0","0.2"
"LU15_37","250","0","0","0","0.25","0","0.25","0","0.5","0","0"
"LU15_18","250","0","0","0","0.5","0","0","0","0.5","0","0"
"LU15_43","250","0","0","0","0","0","0","0","0.5","0","0.5"
"LU15_10","250","0","0","0","0.333333333333333","0","0.333333333333333","0","0.333333333333333","0","0"
"LU15_58","250","0","0","0","0","0.333333333333333","0.333333333333333","0","0.333333333333333","0","0"
"LU15_08","250","0","0","0","0.25","0","0.5","0","0.25","0","0"
"LU15_12","250","0","0","0","0.333333333333333","0","0","0","0.666666666666667","0","0"
"LU15_17","250","0","0","0","0","0","0.333333333333333","0","0.333333333333333","0","0.333333333333333"
"LU15_01","250","0","0","0","0.25","0.25","0.25","0","0.25","0","0"
"LU15_26","250","0","0","0","0.25","0.25","0.25","0","0.25","0","0"
"LU15_27","250","0","0","0","0.125","0.125","0.125","0","0.375","0","0.25"
"LU15_28","250","0","0","0","0.2","0","0.2","0","0.4","0","0.2"
"LU15_02","250","0","0","0","0.333333333333333","0","0.333333333333333","0","0.333333333333333","0","0"
"LU15_29","250","0","0","0","0.166666666666667","0.166666666666667","0.166666666666667","0","0.333333333333333","0","0.166666666666667"
"LU15_30","250","0","0","0","0.25","0","0.25","0","0.25","0","0.25"
"LU15_31","250","0","0","0","0.25","0","0.25","0","0.25","0","0.25"
"LU15_32","250","0","0","0","0.166666666666667","0.166666666666667","0.166666666666667","0","0.333333333333333","0","0.166666666666667"
"LU15_20","250","0","0","0","0.2","0","0.2","0","0.2","0.2","0.2"
"LU15_21","250","0","0","0","0","0","0","0","0.5","0.5","0"
"LU15_23","250","0","0","0","0.333333333333333","0","0","0","0.666666666666667","0","0"
"LU15_41","250","0","0","0","0.166666666666667","0.333333333333333","0","0","0.333333333333333","0","0.166666666666667"
"LU15_25","250","0","0","0","0.333333333333333","0","0","0","0.333333333333333","0","0.333333333333333"
"LU15_09","250","0","0","0","0.5","0","0","0","0.5","0","0"
"LU15_24","250","0","0","0","0.333333333333333","0","0","0","0.666666666666667","0","0"
"LU15_46","250","0","0","0","0.166666666666667","0.166666666666667","0.166666666666667","0","0.166666666666667","0.166666666666667","0.166666666666667"
"LU15_40","250","0","0","0","0","0","0.166666666666667","0","0.5","0","0.333333333333333"
"LU15_16","250","0","0","0","0","0","0","0","0.5","0.5","0"
"LU15_04","250","0","0","0","0.333333333333333","0","0","0","0.666666666666667","0","0"
"LU15_36","250","0","0","0","0.2","0.2","0.2","0","0.4","0","0"
"LU15_03","250","0","0","0","0.166666666666667","0.333333333333333","0.333333333333333","0","0.166666666666667","0","0"
"LU15_15","250","0","0","0.111111111111111","0.111111111111111","0.111111111111111","0.111111111111111","0","0.444444444444444","0","0.111111111111111"
"LU15_14","250","0","0","0.333333333333333","0","0.333333333333333","0","0","0","0.333333333333333","0"
"LU15_22","250","0","0","0","0","0","0","0","1","0","0"
"LU15_61","250","0","0","0","0","0","0","0","0.5","0.5","0"
"LU21_106","250","0","0","0","0","0","0","0","0.5","0","0.5"
"LU21_10","250","0.25","0","0","0","0.25","0","0","0.25","0.25","0"
"LU21_16","250","0","0","0","0","0","0","0","1","0","0"
"LU21_107","250","0","0","0","0","0","0","0","1","0","0"
"LU21_41","250","0","0","0","0","0","0","0","1","0","0"
"LU21_63","250","0","0","0","0","0","0","0","0.5","0","0.5"
"LU21_27","250","0","0","0","0","0","0","0","1","0","0"
"LU21_23","250","0","0","0","0","0.5","0","0","0.5","0","0"
"LU21_21","250","0","0","0","0","0","0","0","1","0","0"
"LU21_82","250","0","0","0","0","0.2","0.2","0","0.2","0.2","0.2"
"LU21_871","250","0","0","0","0","0.142857142857143","0.142857142857143","0","0.142857142857143","0.285714285714286","0.285714285714286"
"LU21_164","250","0","0","0","0","0","0.5","0","0.5","0","0"
"LU21_36","250","0","0","0","0","0","0","0","1","0","0"
"LU21_14","250","0","0","0","0","0","0","0","1","0","0"
"LU21_32","250","0","0","0","0","0","0","0","1","0","0"
"LU21_126","250","0","0","0","0","0","0","0","1","0","0"
"LU21_122","250","0","0","0","0","0","0","0","1","0","0"
"LU21_56","250","0","0","0","0","0","0","0","1","0","0"
"LU21_57","250","0","0","0","0","0","0","0","1","0","0"
"LU21_09","250","0","0","0","0","0.25","0.25","0","0.25","0.25","0"
"LU21_98","250","0","0","0","0","0","0","0","0.333333333333333","0","0.666666666666667"
"LU21_119","250","0","0","0","0","0","0","0","1","0","0"
"LU21_52","250","0","0","0","0","0","0","0","1","0","0"
"LU21_59","250","0","0","0","0","0","0","0","0","0.333333333333333","0.666666666666667"
"LU21_68","250","0","0","0","0","0","0","0","0.333333333333333","0.333333333333333","0.333333333333333"
"LU21_109","250","0","0","0","0","0","0","0","1","0","0"
"LU21_93","250","0","0","0","0","0.333333333333333","0","0","0.333333333333333","0","0.333333333333333"
"LU21_114","250","0","0","0","0","0.333333333333333","0","0","0.333333333333333","0","0.333333333333333"
"LU21_105","250","0","0","0","0","0","0.25","0","0.25","0","0.5"
"LU21_100","250","0","0","0","0","0","0.25","0","0.25","0","0.5"
"LU21_74","250","0","0","0","0","0","0","0","0.5","0.5","0"
"LU21_78","250","0.333333333333333","0","0","0","0","0","0","0.333333333333333","0","0.333333333333333"
"LU21_153","250","0","0","0","0","0","0","0","1","0","0"
"LU21_06","250","0","0","0","0","0","0.333333333333333","0","0.333333333333333","0.333333333333333","0"
"LU21_116","250","0.25","0","0","0","0","0","0","0","0.5","0.25"
"LU21_97","250","0.2","0","0","0","0","0.2","0","0.2","0.4","0"
"LU01_13","250","0","0","0","0.5","0","0","0","0","0.5","0"
"LU01_30","250","0","0","0","0.166666666666667","0.333333333333333","0","0","0.166666666666667","0.333333333333333","0"
"LU01_85","250","0","0","0","0","0.333333333333333","0","0","0.333333333333333","0.333333333333333","0"
"LU01_66","250","0","0","0","0.333333333333333","0","0","0","0.333333333333333","0","0.333333333333333"
"LU01_76","250","0","0","0","0.2","0","0.4","0","0.4","0","0"
"LU01_73","250","0","0","0","0.5","0","0","0","0.5","0","0"
"LU01_75","250","0","0","0","0.25","0.5","0","0","0.25","0","0"
"LU01_47","250","0","0","0","0.2","0","0.2","0","0","0.4","0.2"
"LU01_74","250","0","0","0","0.25","0","0.25","0","0.5","0","0"
"LU01_44","250","0.142857142857143","0","0","0.142857142857143","0.142857142857143","0.142857142857143","0","0.285714285714286","0.142857142857143","0"
"LU01_41","250","0.25","0","0","0.25","0","0","0","0.25","0.25","0"
"LU01_64","250","0","0","0","0","0.333333333333333","0.166666666666667","0","0.333333333333333","0","0.166666666666667"
"LU01_86","250","0","0","0","0","0","0","0","0.5","0","0.5"
"LU01_79","250","0","0","0","0","0","0.333333333333333","0","0.666666666666667","0","0"
"LU01_63","250","0","0","0","0","0","0","0","1","0","0"
"LU01_72","250","0","0","0","0","0","0","0","0.5","0.5","0"
"LU01_67","250","0","0","0","0","0","0.25","0","0.25","0.5","0"
"LU01_77","250","0","0","0","0.333333333333333","0","0","0","0.666666666666667","0","0"
"LU01_32","250","0","0","0.222222222222222","0.111111111111111","0","0.222222222222222","0","0.111111111111111","0.333333333333333","0"
"LU01_36","250","0","0","0","0","0","0.333333333333333","0","0.333333333333333","0.333333333333333","0"
"LU01_84","250","0","0","0","0.25","0.25","0","0","0.5","0","0"
"LU01_25","250","0","0","0","0.25","0","0","0","0.25","0.5","0"
"LU01_83","250","0","0","0","0","0","0","0","0.5","0.5","0"
"LU01_80","250","0","0","0","0.166666666666667","0.333333333333333","0","0","0.333333333333333","0.166666666666667","0"
"LU01_70","250","0","0","0","0.166666666666667","0.166666666666667","0","0","0.333333333333333","0.166666666666667","0.166666666666667"
"LU01_48","250","0","0","0","0.2","0","0.4","0","0.2","0.2","0"
"LU01_45","250","0","0","0","0.333333333333333","0","0","0","0.333333333333333","0.333333333333333","0"
"LU01_11","250","0.166666666666667","0","0","0.166666666666667","0","0.166666666666667","0","0","0.5","0"
"LU01_40","250","0","0","0","0.2","0","0.4","0","0","0.4","0"
"LU01_06","250","0","0","0","0.5","0","0","0","0","0.5","0"
"LU01_10","250","0","0","0","0.5","0","0","0","0","0.5","0"
"LU01_43","250","0","0","0","0.2","0","0.2","0","0.2","0.4","0"
"LU01_71","250","0","0","0","0.333333333333333","0","0","0","0.666666666666667","0","0"
"LU01_22","250","0","0","0","0.25","0.5","0","0","0.25","0","0"
"LU01_60","250","0","0","0","0.142857142857143","0.142857142857143","0.142857142857143","0","0.142857142857143","0.285714285714286","0.142857142857143"
"LU01_78","250","0","0","0","0","0","0","0","1","0","0"
"LU01_46","250","0","0","0","0.166666666666667","0.333333333333333","0.166666666666667","0","0.166666666666667","0","0.166666666666667"
"LU01_82","250","0","0","0","0.5","0","0","0","0.5","0","0"
"LU01_27","250","0","0","0","0.2","0","0.2","0","0.2","0.4","0"
"LU13_18","500","0.0833333333333333","0","0","0.0833333333333333","0.25","0.166666666666667","0","0.333333333333333","0.0833333333333333","0"
"LU13_15","500","0","0","0.125","0.125","0.125","0.125","0","0.375","0","0.125"
"LU13_03","500","0","0","0","0","0.333333333333333","0","0","0.333333333333333","0","0.333333333333333"
"LU13_34","500","0","0","0","0","0.5","0","0","0.5","0","0"
"LU13_57","500","0","0","0","0","0.2","0.2","0","0.6","0","0"
"LU13_16","500","0.25","0","0","0","0","0","0","0.5","0.25","0"
"LU13_21","500","0.0769230769230769","0","0.0769230769230769","0.0769230769230769","0.230769230769231","0.230769230769231","0","0.307692307692308","0","0"
"LU13_37","500","0","0","0","0","0.5","0","0","0.5","0","0"
