array,site,buff_dist,harvest,pipeline,roads,seismic_lines,seismic_lines_3D,trails,transmission_lines,veg_edges,wells,lc_grassland,lc_coniferous,lc_broadleaf,lc_mixed,lc_developed,lc_shrub,osm_industrial,deploy_date,deploy_time,crew,grid_cell,camera_unit,sd,lat,long,gps_label,ecosite,site_description,topography,grade,elevation,dist_trail,camera_direction,trail_rating,dist_lure,site_comments,forest
LU13,LU13_18,250,0,0,0,0,0,0.005879016,0.06421027200000003,0,0,0.1928166,0.4555943770000001,0,0,0,0.3155169260000001,0.3828720790000001,2022-09-18,14:15:00,RS NB,LU13_18,ACME-2022-112,OSM-22-111,57.179930000000006,-111.59020000000001,LU13_18,NA,"Mixed wood/spruce foresrt with labrador tea and some moss, not wet though. Close to industrial park. On game trail near opening in woods.",Flat,0,286,1,NE,2,3,"Bear poop right in front of camera. Drive into Fort McKay Industrial Park, turn left at stop sign, drive to end of road and park. Easy walk into forest, follow clearing/game trail.",Broadleaf
LU13,LU13_15,250,0,0.067955759,0.017425857,0.032770789,0,0.002800676,0,0.08579617700000006,0,0.34823323999999983,0.3583255190000001,0,0.100603367,0.091599197,0,0.156983308,2022-09-18,14:48:00,RS NB,LU13_15,ACME-2022-115,OSM-22-10,57.140370000000004,-111.59116000000002,LU13_15,NA,Game trail in conifer stand with mossy understorey adjacent to cut line that comes out from mine.,Flat,0,277,1,N,3,5,Drive south of point and turn into exit from hwy ~500 m from point on E-side of hwy. Pull over before gate and follow forest then cutline to site. Site is on east side of cutline.,Broadleaf
LU13,LU13_03,250,0.687019855,0,0,0,0,0,0,0,0,0,0.185976544,0,0.255262006,0,0.5587614500000002,0,2022-09-18,13:11:00,RS NB,LU13_03,ACME-2022-46,OSM-22-92,57.12465,-111.49142000000002,LU13_03,NA,Down game trail in regenerating forest - aspen saplings and young pine tree stand. Dry understorey with blueberry and some grasses and shrubs. Camera on only big pine.,Slope,0,322,2,NW,2,7,"Turn into old sandy road ~2m W of re-fuel station, on north side of raod. Follow in truck until junction that heads west. Follow west and park unitl driveable. Walk up road till perpendicular with site and bushwhack in.",Mixed
LU13,LU13_34,250,0.336894195,0,0,0.00888548099999999,0,0.015911927,0,0,0,0,1,0,0,0,0,0,2022-09-18,12:09:00,RS NB,LU13_34,ACME-2022-43,OSM-22-48,57.12297000000001,-111.45408,LU13_34,NA,"Dry, open pine forest with lots of blueberries. Camera on well-used bear trail. Close to spot with more shrubs.",Slope,5,342,1.5,N,3,4,"Here be blueberries and bears (and coyotes, wolf, grouse - on main road mostly). Park on line near fueling station. The line is sandy and easy to walk (but also seems driveable). Camera is on east side of trail in open pine forest on a well-used bear path. Weird baiting station with tin cans/bones and a mailbox (for a camera?) not too far away.",Conifer
LU13,LU13_57,250,0,0.03010008699999999,0,0.011444236,0.052342435,0,0.09101129799999998,0,0.032230409,0.17842140300000006,0.821578597,0,0,0,0,0,2022-09-18,10:52:00,RS NB,LU13_57,ACME-2022-51,OSM-22-61,57.20649,-111.05726000000001,LU13_57,NA,On game trail that looks to be on an old seismic line. In a conifer stand with mossy understory and horsetails. Adjacent to mixed forest patch.,Flat,0,523,1.5,W,2,6,Park roadside and follow transmission line on NW side of raod. Once perpendicular to site bushwhack through forest on North side of transmission line to site.,Conifer
LU13,LU13_16,250,0,0,0,0.007469759,0,0,0,0,0,0,0.688877393,0.13031193400000005,0,0,0,0.4413844680000001,2022-09-18,14:32:00,LG AB,LU13_16,ACME-2022-67,OSM-22-13,57.16297000000001,-111.58554,LU13_16,NA,"Camera along game trail. Flat, mossy ground, mixed forest stand.",Flat,0,276,1,N,2,5,"Drive into For McKay Industrial Park. Drive straight in from road, past the first stop sign, and then turn right at the end of the road (at next stop sign). Drive all the way to the end of the road (heading south), past the Ford and bus depot, until you see the junk yard. Park and walk in along a quad trail. Enter the forest stand and follow game trail to camera.",Broadleaf
LU13,LU13_21,250,0,0.04567119100000001,0.021805549,0,0,0.012262139,0.04156214900000001,6.13147e-4,0,0.10601473900000002,0.2827818,0,0,0.19504073800000005,0.3220819010000001,0.5579842910000001,2022-09-18,13:39:00,LG AB,LU13_21,ACME-2022-99,OSM-22-18,57.19368,-111.58622000000001,LU13_21,NA,Slightly uphill facing trail in conifer and labrador tea.,Slope,5,269,1,W,3,5,We parked on a worker lodge pad and tracked down the loadge manager to ask permission to park on the property. We parked on the west side near the saftey office and walked in through cut line. Be VERY bear aware here.,Broadleaf
LU13,LU13_37,250,0,0,0.03127947,0.01564963899999999,0,0,0,0.102167639,0.01215734099999999,0,1,0,0,0,0,0,2022-09-18,12:24:00,LG AB,LU13_37,ACME-2022-60,OSM-22-64,57.11808,-111.37926,LU13_37,NA,Camera along game trail. Mossy understory with lots of labrador tea and horsetail. Dominate coniferous forest stand.,Flat,0,344,1,NE,2,4,"Parked along main road. Walk up cutline (in the adjacent cell). Enter the forst stand on the left until you enter the LU13-37 cell, follow game trail to camera.",Conifer
LU13,LU13_55,250,0,0,0.028592165,0,0,0,0,0.094011602,0,0,0.39174325399999993,0,0,0,0.6082567459999997,0,2022-09-18,11:47:00,LG AB,LU13_55,ACME-2022-63,OSM-22-101,57.11781,-111.30484,LU13_55,NA,Short trees and a lot of labrador tea/mossy underbrush. Semi-well used trail off of an old cut block.,Flat,0,368,1,N,1,12,Nice pull out on side of the road. You can walk into a weird cut block and then whack into the bush. Bring boots (boggy)!,Conifer
LU13,LU13_47,250,0,0.038335251,0.053289755,0.00976640099999999,0.05999399800000001,0,0,0.008142382,0.002298378,0,1,0,0,0,0,0.109628611,2022-09-18,11:01:00,LG AB,LU13_47,ACME-2022-66,OSM-22-84,57.1871,-111.09103,LU13_47,NA,"Camera along cutline and game trail 4-way junction. Grassy and mossy understory with shrubs, dominate coniferous forest stand.",Flat,0,499,1.5,NE,3,9,"Park along main road. Walk through shrubby patch to back road. Walk up backroad until you hit the cutline, follow cutline to 4-way junction and camera.",Conifer
LU13,LU13_51,250,0,0.240164877,0.016025557,0,0,0,0.02690191600000002,0.01562272799999999,0,0.10857872100000004,0.891421279,0,0,0,0,0,2022-09-16,10:24:00,LG AB,LU13_51,ACME-2022-103,OSM-22-112,57.08858,-111.25424000000001,LU13_51,NA,"Camera along game trail. Mossy understory, lots of horsetail. Dominate coniferous forest stand.",Flat,0,396,1,N,3,5,"Park along main road (in pull out). Walk through clear shrubby area, enter forest stand, follow game trail to camera.",Conifer
LU13,LU13_27,250,0,0.06068971,0.01703974799999999,0.014298316,0,0,0.0798281,0.01736043500000001,0,0.13957314,0.86042686,0,0,0,0,0,2022-09-16,09:47:00,LG AB,LU13_27,ACME-2022-105,OSM-22-11,57.097150000000006,-111.24763000000002,LU13_27,NA,"Pretty sick site. Open/mossy, mixed conifer. Big old day bed of some mountain beast on the trail.",Flat,0,403,1,N,3,12,Drive and park along main road. Bushwhack in.,Broadleaf
